Aspectos,er,do
Juegos,29,31
Average Colectivo,250,366
Media de Hits,6,11
Media de Ponches,8,3
Media de Extrabase,4,6
Media de Carreras Anotadas,5,9
Media de Carreras Impulsadas,5,8
Media de Base por Bolas,8,8
