Aspectos,er,do
Juegos,28,30
Average Colectivo,251,488
Media de Hits,6,12
Media de Ponches,8,4
Media de Extrabase,4,8
Media de Carreras Anotadas,5,8
Media de Carreras Impulsadas,5,6
Media de Base por Bolas,3,9
