Aspectos,er,do
Juegos,28,32
Average Colectivo,238,308
Media de Hits,4,11
Media de Ponches,7,3
Media de Extrabase,5,7
Media de Carreras Anotadas,6,6
Media de Carreras Impulsadas,4,7
Media de Base por Bolas,3,6
