Aspectos,er,do
Juegos,20,31
Average Colectivo,243,350
Media de Hits,4,7
Media de Ponches,8,3
Media de Extrabase,3,6
Media de Carreras Anotadas,4,7
Media de Carreras Impulsadas,5,8
Media de Base por Bolas,6,8
