Aspectos,er,do
Juegos,25,30
Average Colectivo,237,322
Media de Hits,5,9
Media de Ponches,6,3
Media de Extrabase,4,8
Media de Carreras Anotadas,3,6
Media de Carreras Impulsadas,3,6
Media de Base por Bolas,4,6
