Aspectos,er,do
Juegos,27,30
Average Colectivo,231,317
Media de Hits,5,11
Media de Ponches,9,5
Media de Extrabase,3,6
Media de Carreras Anotadas,4,8
Media de Carreras Impulsadas,4,6
Media de Base por Bolas,4,7
