Aspectos,er,do
Juegos,24,26
Average Colectivo,253,411
Media de Hits,6,8
Media de Ponches,4,4
Media de Extrabase,5,8
Media de Carreras Anotadas,6,7
Media de Carreras Impulsadas,5,6
Media de Base por Bolas,5,6
