Aspectos,er,do
Juegos,20,25
Average Colectivo,248,341
Media de Hits,5,11
Media de Ponches,8,4
Media de Extrabase,4,7
Media de Carreras Anotadas,4,9
Media de Carreras Impulsadas,5,7
Media de Base por Bolas,4,8
