Aspectos,er,do
Juegos,23,28
Average Colectivo,238,337
Media de Hits,5,9
Media de Ponches,8,3
Media de Extrabase,4,7
Media de Carreras Anotadas,3,8
Media de Carreras Impulsadas,5,7
Media de Base por Bolas,4,8
