Aspectos,er,do
Juegos,26,30
Average Colectivo,251,345
Media de Hits,5,8
Media de Ponches,7,4
Media de Extrabase,3,7
Media de Carreras Anotadas,3,7
Media de Carreras Impulsadas,4,6
Media de Base por Bolas,4,6
